iter	Accuracy	Logloss
62	0.8552188552	0.3786193752
63	0.8569023569	0.3775868574
64	0.8552188552	0.3772179404
65	0.8552188552	0.3771154878
66	0.8552188552	0.3763654442
67	0.8552188552	0.3759780714
68	0.8552188552	0.3749027911
69	0.8552188552	0.3737635866
70	0.8552188552	0.3728926762
71	0.8552188552	0.3722674712
72	0.8552188552	0.3716440101
73	0.8552188552	0.371040604
74	0.8552188552	0.3699762825
75	0.8552188552	0.3694737704
76	0.8552188552	0.3686885505
77	0.8552188552	0.3684611143
78	0.8552188552	0.3680579556
79	0.8552188552	0.3673902383
80	0.8552188552	0.366480917
81	0.8552188552	0.3662871368
82	0.8552188552	0.3657696882
83	0.8552188552	0.3648829706
84	0.8552188552	0.3640928375
85	0.8552188552	0.3638723389
86	0.8552188552	0.3634980815
87	0.8569023569	0.3629798388
88	0.8569023569	0.3624064508
89	0.8569023569	0.3619414199
90	0.8569023569	0.3618809654
91	0.8569023569	0.3616717924
92	0.8569023569	0.3607718571
93	0.8569023569	0.3601970651
94	0.8569023569	0.359638633
95	0.8569023569	0.3594387001
96	0.8569023569	0.3592310178
97	0.8585858586	0.3582579188
98	0.8585858586	0.358010926
99	0.8585858586	0.3571790572
100	0.8585858586	0.3568977867
101	0.8585858586	0.3568700474
102	0.8585858586	0.3567224709
103	0.8585858586	0.3561866855
104	0.8585858586	0.3559839657
105	0.8585858586	0.3558581173
106	0.8585858586	0.35552541
107	0.8585858586	0.3552991033
108	0.8585858586	0.3548834475
109	0.8585858586	0.3546821231
110	0.8602693603	0.3545109895
111	0.8585858586	0.3543500527
112	0.8585858586	0.3533803371
113	0.8602693603	0.3530085529
114	0.8602693603	0.3524920142
115	0.8585858586	0.3517428818
116	0.8585858586	0.3512663821
117	0.8602693603	0.3506043746
118	0.8585858586	0.3500768939
119	0.8585858586	0.3498143745
120	0.8585858586	0.3493590745
121	0.8585858586	0.3491938241
122	0.8585858586	0.3486521972
123	0.8585858586	0.3483441692
124	0.8585858586	0.3480576359
125	0.8585858586	0.3476945734
126	0.8585858586	0.3473528164
127	0.8585858586	0.3467629701
128	0.8585858586	0.346480721
129	0.8585858586	0.3454317767
130	0.8585858586	0.3454037376
131	0.8585858586	0.3452573777
132	0.8585858586	0.3450678395
133	0.8602693603	0.3445720603
134	0.8602693603	0.3435581604
135	0.8602693603	0.3433373339
136	0.8602693603	0.343198526
137	0.8602693603	0.3430952294
138	0.8602693603	0.3429306843
139	0.8602693603	0.342779003
140	0.8602693603	0.3424211542
141	0.8602693603	0.3420548355
142	0.8602693603	0.3418602561
143	0.8602693603	0.3415583077
144	0.8602693603	0.3410761469
145	0.8602693603	0.3410061336
146	0.8602693603	0.3406159239
147	0.8602693603	0.3400017615
148	0.8602693603	0.3394063604
149	0.8602693603	0.3393268399
150	0.8602693603	0.339159007
151	0.8585858586	0.3389393516
152	0.8602693603	0.3387480264
153	0.8602693603	0.3385238343
154	0.8602693603	0.3383999196
155	0.8602693603	0.33827071
156	0.861952862	0.3379556732
157	0.8636363636	0.3376245062
158	0.861952862	0.3375079222
159	0.8636363636	0.3371873777
160	0.8636363636	0.3369966812
161	0.8636363636	0.336137704
162	0.8636363636	0.3356307414
163	0.8636363636	0.3352751961
164	0.8636363636	0.3351032281
165	0.8636363636	0.3349922076
166	0.8636363636	0.3345673045
167	0.8636363636	0.3344071935
168	0.8636363636	0.3343304179
169	0.8636363636	0.3340482725
170	0.8636363636	0.3338149266
171	0.8636363636	0.3337849269
172	0.8636363636	0.3331638041
173	0.8636363636	0.3331247835
174	0.8636363636	0.332968795
175	0.8636363636	0.3326868519
176	0.8636363636	0.3325380977
177	0.8636363636	0.3323904005
178	0.8636363636	0.3322659739
179	0.8636363636	0.3318991967
180	0.8636363636	0.3317739826
181	0.8636363636	0.3311770591
182	0.8636363636	0.330995181
183	0.8636363636	0.3308933198
184	0.8636363636	0.3302789669
185	0.8636363636	0.3297494227
186	0.8636363636	0.3290213225
187	0.8636363636	0.3287127487
188	0.8636363636	0.3285535109
189	0.8636363636	0.3282903115
190	0.8636363636	0.3280210387
191	0.8636363636	0.3279096853
192	0.8636363636	0.327609564
193	0.8636363636	0.3271335186
194	0.8636363636	0.3270537425
195	0.8636363636	0.326964869
196	0.8636363636	0.3268231072
197	0.8636363636	0.3265990452
198	0.8636363636	0.3264951308
199	0.8636363636	0.3264271055
200	0.8636363636	0.3255041993
201	0.8636363636	0.3253852555
202	0.8636363636	0.3252636409
203	0.8636363636	0.3250065851
204	0.8636363636	0.3245392315
205	0.8636363636	0.3244910425
206	0.8653198653	0.3240564244
207	0.8653198653	0.3239554853
208	0.8653198653	0.3239286399
209	0.8653198653	0.3237005042
210	0.8653198653	0.3232096449
211	0.8653198653	0.32296085
212	0.8653198653	0.3228529876
213	0.8653198653	0.322819046
214	0.8653198653	0.3225961458
215	0.8653198653	0.3225086648
216	0.8653198653	0.3223104358
217	0.8653198653	0.3220663543
218	0.8653198653	0.3217116936
219	0.867003367	0.321226234
220	0.867003367	0.3208684346
221	0.867003367	0.3207238673
222	0.867003367	0.3207238671
223	0.867003367	0.3202562439
224	0.8686868687	0.3200846649
225	0.8686868687	0.3196657854
226	0.8686868687	0.3193020599
227	0.8686868687	0.319099176
228	0.8703703704	0.3186304552
229	0.8686868687	0.3182596172
230	0.8703703704	0.3181000472
231	0.8703703704	0.3178741314
232	0.8703703704	0.317752056
233	0.8703703704	0.3176221544
234	0.8703703704	0.3174111365
235	0.8703703704	0.3171525738
236	0.8703703704	0.3169433673
237	0.8720538721	0.316640534
238	0.8737373737	0.3164298028
239	0.8737373737	0.3162111342
240	0.8720538721	0.3159575471
241	0.8720538721	0.3158519053
242	0.8720538721	0.315602812
243	0.8737373737	0.3150507272
244	0.8754208754	0.3149769856
245	0.8754208754	0.3145970585
246	0.8754208754	0.314545653
247	0.8754208754	0.3140924608
248	0.8754208754	0.3139922931
249	0.8754208754	0.3138723352
250	0.8754208754	0.3138324504
251	0.8754208754	0.3137922214
252	0.8754208754	0.3133937244
253	0.8754208754	0.3128769179
254	0.8754208754	0.3127572793
255	0.8754208754	0.3119858333
256	0.8754208754	0.3116690794
257	0.8754208754	0.3108186025
258	0.8754208754	0.31076918
259	0.8754208754	0.3106836666
260	0.8754208754	0.3104050146
261	0.8754208754	0.3101916772
262	0.8754208754	0.3100127211
263	0.8754208754	0.3099905101
264	0.8754208754	0.3099698965
265	0.8754208754	0.3096833058
266	0.8754208754	0.3095862284
267	0.8754208754	0.3091155107
268	0.8754208754	0.3090095976
269	0.8754208754	0.3083704006
270	0.8754208754	0.3081204312
271	0.8771043771	0.3079294579
272	0.8771043771	0.3078339532
273	0.8771043771	0.3077693059
274	0.8771043771	0.3074911816
275	0.8787878788	0.3071553707
276	0.8804713805	0.3065259592
277	0.8804713805	0.3063007129
278	0.8821548822	0.3060640609
279	0.8821548822	0.305438469
280	0.8821548822	0.3050174277
281	0.8804713805	0.3048685728
282	0.8804713805	0.3043698245
283	0.8804713805	0.3040748044
284	0.8821548822	0.3037270308
285	0.8821548822	0.3034800327
286	0.8821548822	0.3029818395
287	0.8821548822	0.3026882131
288	0.8804713805	0.3022477777
289	0.8804713805	0.3020553043
290	0.8804713805	0.3018889734
291	0.8804713805	0.301761792
292	0.8821548822	0.3016375495
293	0.8804713805	0.3010883562
294	0.8821548822	0.3006239547
295	0.8821548822	0.3003509548
296	0.8838383838	0.3001789205
297	0.8855218855	0.3000969277
298	0.8838383838	0.2998782316
299	0.8855218855	0.2997647325
